pressure,global_radiation,temp_mean,temp_min,temp_max,wind_speed,wind_bearing,normalized_label
988.2,0.1,8.6,6.1,11.9,0.0,0,0
988.2,0.17,1.8,0.3,2.7,0.0,0,0
988.3,0.54,10.8,8.0,16.0,23.28,151,2
988.3,0.33,8.2,6.5,10.5,23.28,151,2
988.3,0.14,1.4,0.2,2.6,23.28,151,2
988.4,0.41,11.2,7.9,12.4,0.0,0,1
988.5,0.39,7.6,6.1,7.1,30.38,171,3
988.5,0.14,10.5,7.8,13.5,30.38,171,2
988.5,0.23,7.8,6.4,10.2,30.38,171,2
988.5,0.35,3.2,2.1,5.4,30.38,171,2
988.5,0.37,13.6,10.6,16.0,30.38,171,2
988.5,0.23,5.3,3.2,6.9,30.38,171,2
988.5,0.13,9.3,7.6,11.7,30.38,171,2
988.6,0.15,7.6,6.4,8.9,28.11,1,2
988.6,0.15,7.6,6.4,8.9,29.41,340,2
988.6,0.3,7.3,4.7,11.4,28.11,1,2
988.6,0.3,7.3,4.7,11.4,29.41,340,2
988.7,0.17,8.8,5.4,10.0,17.71,150,2
988.7,0.17,8.8,5.4,10.0,29.88,350,2
988.7,0.45,9.9,7.6,13.2,17.71,150,2
988.7,0.45,9.9,7.6,13.2,29.88,350,2
988.8,0.12,6.1,4.9,7.3,6.44,160,0
988.9,0.36,4.0,0.9,6.1,0.0,0,0
988.9,0.36,4.0,0.9,6.1,29.64,340,2
988.9,1.3,6.2,3.9,8.5,0.0,0,0
988.9,1.3,6.2,3.9,8.5,29.64,340,2
988.9,0.14,2.6,0.4,5.4,0.0,0,0
988.9,0.14,2.6,0.4,5.4,29.64,340,2
988.9,0.65,8.5,5.9,12.0,0.0,0,0
988.9,0.65,8.5,5.9,12.0,29.64,340,2
988.9,0.6,8.9,1.8,15.4,0.0,0,0
988.9,0.6,8.9,1.8,15.4,29.64,340,2
988.9,0.21,2.0,0.7,3.3,0.0,0,0
988.9,0.21,2.0,0.7,3.3,29.64,340,2
989.0,0.11,5.7,4.4,7.1,12.88,250,0
989.1,0.34,7.8,6.1,9.2,3.22,270,1
